No.	User	Edit count
848	R. Hillgentleman	48
849	OrBot	47
850	CataBotTsirel	38
851	Smallbot	34
852	Mihas-bot	31
853	Orphaned image deletion bot	31
854	SPPatrolBot	29
855	Danielfolsom2.bot	29
856	TAP Bot	26
857	TFA Protector Bot	22
858	DRN clerk bot	22
859	Dpkbot	21
860	M-Bot	21
861	CleanupListingBot	20
862	IPLRecordsUpdateBot	19
863	SpebiBot	18
864	AwOcBot	17
865	Town-bot	17
866	TorNodeBot	14
867	CloudNineBot	12
868	SebrevBOT	12
869	SpellCheckerBot	11
870	Wikipedia Signpost	11
871	AEBot	10
872	Heikobot	5
873	MessengerBot	4
874	WASDbot	4
875	NVS(bot)	4
876	Wpp research bot	3
877	GrashoofdBot	2
878	WalkingSoulBot	1
879	CommonsNotification	1
880	CwraschkeDataBot	1
881	Nomenclaturebrowser	1
882	PC78-bot	1
883	SunCreatorBot	1
884	WillieBot	0
885	KyluBot	0
886	ChrisSalij Bot	0
887	Taxobot 6	0
888	Taxobot 3	0
889	Geimas5Bot	0
890	BsherrAWBBOT	0
891	MetaplasticityBot	0
892	AlekseyBot	0
893	TowBot	0
894	Taxobot (usurped)	0
895	SlakrBot	0
896	ZscoutBot	0
897	JatBot	0
898	Non-Free Content Compliance Bot	0
899	Joe's Null Bot	0
900	Collabsearch	0
901	ProcseeBot	0
902	AttributionBot	0
